t,winds,SNII,tot_SNII,tot_winds,AGB,tot_AGB
238962574.17091703,3.476801934945516e-13,0.0,0.13011751416290182,0.033537716830005365,1.9512318278248642e-10,0.09301575797871309
242480751.36187807,3.414140726263328e-13,0.0,0.13011751416290182,0.03353892900787011,1.9247908054695638e-10,0.09369758469971834
246050725.66286752,3.3459061873878166e-13,0.0,0.13011751416290182,0.03354013566755787,1.8987080837800467e-10,0.09438007433844248
249673259.66782582,3.28912292776414e-13,0.0,0.13011751416290182,0.03354133744848754,1.8729788074459656e-10,0.09506322753941857
253349127.19814447,3.224988354420252e-13,0.0,0.13011751416290182,0.0335425346989951,1.8475981869510414e-10,0.0957470449478063
257079113.4679657,3.150595636963459e-13,0.0,0.13011751416290182,0.033543723741032594,1.8225614976825784e-10,0.09643152720939303
260864015.25191024,3.102774131472208e-13,0.0,0.13011751416290182,0.0335449071605522,1.7978640790481116e-10,0.09711667497059336
264704641.05528545,3.0565437559847185e-13,0.0,0.13011751416290182,0.03354608994231269,1.7735013336126682e-10,0.0978024888784507
268601811.2867896,3.162415335027813e-13,0.0,0.13011751416290182,0.03354730175942471,1.7303560178360134e-10,0.09848524530672584
272600664.97196126,3.122262491219373e-13,0.0,0.13011751416290182,0.033548558334778995,1.6580668835059964e-10,0.09916273567702341
276781000.5919489,3.037202871925504e-13,0.0,0.13011751416290182,0.033549845766401874,1.6365079940137143e-10,0.09985135711268402
281025441.7264915,3.0545041117431934e-13,0.0,0.13011751416290182,0.033551138560986925,1.6152294223552144e-10,0.1005414475151224
285334971.4346925,3.0730752025124583e-13,0.0,0.13011751416290182,0.03355245891024163,1.5942275237183308e-10,0.10123301001793719
289710587.85088605,3.036338455105589e-13,0.0,0.13011751416290182,0.033553795532776313,1.5734987006825953e-10,0.10192604776141197
294153304.4158127,2.9526442843255486e-13,0.0,0.13011751416290182,0.03355512590041749,1.5530394026043044e-10,0.10262056389252931
298664150.11133933,2.820048843908437e-13,0.0,0.13011751416290182,0.03355642788681494,1.5328461250047334e-10,0.10331656156498448
303244169.69879043,2.717299597991472e-13,0.0,0.13011751416290182,0.03355769594503126,1.5129154089723734e-10,0.1040140439392005
307894423.960922,2.6089601176702e-13,0.0,0.13011751416290182,0.03355893436812846,1.4932438405712954e-10,0.10471301418234233
312615989.94760734,2.5582668422951934e-13,0.0,0.13011751416290182,0.03356015423828144,1.473828050253405e-10,0.10541347546833073
317409961.2253006,2.5214196015121025e-13,0.0,0.13011751416290182,0.033561371831827,1.4546647122829185e-10,0.10611543097785732
322277448.13031554,2.484893383063228e-13,0.0,0.13011751416290182,0.03356259023997175,1.4357505441684742e-10,0.10681888389839894
327219578.0259871,2.50891846952281e-13,0.0,0.13011751416290182,0.03356382424331425,1.417082306097105e-10,0.10752383742423151
332237495.5637893,2.4658986310083633e-13,0.0,0.13011751416290182,0.03356507240441305,1.39865680038138e-10,0.1082302947564452
337332362.94844526,2.3994481827645827e-13,0.0,0.13011751416290182,0.03356631181925288,1.3804708709138834e-10,0.10893825910295905
342505360.20710206,2.3258164283871555e-13,0.0,0.13011751416290182,0.03356753400829688,1.3625214026209982e-10,0.10964773367853468
347757685.4626465,2.028146378867103e-13,0.0,0.13011751416290182,0.03356867742973759,1.3448053209341778e-10,0.11035872170479165
353090555.2111993,1.9648671651023315e-13,0.0,0.13011751416290182,0.0335697421407943,1.3273195912631373e-10,0.11107122641022221
358505204.6038646,1.8823144230458086e-13,0.0,0.13011751416290182,0.03357078369776679,1.3100612184713857e-10,0.11178525103020502
364002887.73281455,1.841588950137607e-13,0.0,0.13011751416290182,0.03357180733980422,1.2930272463696715e-10,0.11250079880702106
369584877.9217393,1.8408111298125558e-13,0.0,0.13011751416290182,0.03357283509586012,1.2762147572043e-10,0.11321787298986723
375252468.02077276,1.8264302962311062e-13,0.0,0.13011751416290182,0.03357387431691997,1.259620871159725e-10,0.11393647683487185
381006970.7059268,1.8024625984228937e-13,0.0,0.13011751416290182,0.033574918440615296,1.2432427458663772e-10,0.1146566136051094
386849718.7831165,1.7837697543567338e-13,0.0,0.13011751416290182,0.03357596611322448,1.2270775759107377e-10,0.11537828657061469
392782065.49686205,1.7591122949127665e-13,0.0,0.13011751416290182,0.03357701699345859,1.211122592356758e-10,0.11610149900839846
398805384.84371024,1.7300422743492698e-13,0.0,0.13011751416290182,0.03357806780806965,1.195375062272625e-10,0.11682625420246216
404921071.89046234,1.7066354286709713e-13,0.0,0.13011751416290182,0.03357911869033526,1.179832288259593e-10,0.11755255544381217
411130543.0972966,1.840103822052976e-13,0.0,0.13011751416290182,0.03358021985909804,1.1644916079921488e-10,0.1182804060304756
417435236.64582944,1.9130162435717864e-13,0.0,0.13011751416290182,0.03358140297269127,1.1382332322759471e-10,0.11900630475269983
423898999.9189922,1.8399301502953154e-13,0.0,0.13011751416290182,0.03358261588054461,1.0742737628258724e-10,0.11972136082552758
430761245.7535017,1.8068649800191646e-13,0.0,0.13011751416290182,0.033583867140779225,1.0591629659893933e-10,0.12045336919080268
437734580.35656565,1.7619126825793495e-13,0.0,0.13011751416290182,0.03358511145481749,1.0442647184944948e-10,0.1211867644436654
444820802.077414,1.7265185790798573e-13,0.0,0.13011751416290182,0.033586347444686394,1.0295760306095568e-10,0.12192154921175948
452021738.37767005,1.6611943789143115e-13,0.0,0.13011751416290182,0.0335875671799471,1.0150939546577969e-10,0.12265772612770726
459339246.3026283,1.6355140049947923e-13,0.0,0.13011751416290182,0.033588773364433375,1.0008155844230314e-10,0.1233952978291184
466775212.96017957,1.618445299991877e-13,0.0,0.13011751416290182,0.03358998318107822,9.867380545696326e-11,0.12413426695860061
474331556.007461,1.606595893843585e-13,0.0,0.13011751416290182,0.03359120165695833,9.728585400644447e-11,0.1248746361637676
482010224.1454132,1.556016777494118e-13,0.0,0.13011751416290182,0.03359241588961593,9.591742556124092e-11,0.12561640809724972
489813197.62132365,1.5286277118619862e-13,0.0,0.13011751416290182,0.033593619359572585,9.456824550966693e-11,0.12635958541670336
497742488.7395055,1.4828797863371584e-13,0.0,0.13011751416290182,0.03359481331555548,9.323804310264462e-11,0.1271041707848195
505800142.3802638,1.4382975789372368e-13,0.0,0.13011751416290182,0.033595990207327106,9.192655139960115e-11,0.12785016686933479
513988236.52723205,1.3793141804858856e-13,0.0,0.13011751416290182,0.033597143750844896,9.063350721459498e-11,0.12859757634303934
522308882.80327874,1.3603320224770128e-13,0.0,0.13011751416290182,0.03359828353219371,8.935865106388969e-11,0.12934640188378807
530764227.0150559,1.3532606759562863e-13,0.0,0.13011751416290182,0.033599430750209505,8.81017271134291e-11,0.13009664617450875
539356449.7063969,1.3550143430357721e-13,0.0,0.13011751416290182,0.033600594255313136,8.68624831279356e-11,0.13084831190321297
548087766.7206383,1.3139440098654647e-13,0.0,0.13011751416290182,0.033601759431386984,8.564067041996431e-11,0.1316014017630045
