H,He,C,N,O,Ne,Mg,Si,Fe
0.24970061803207566,0.12051937361978063,0.005510795047141345,0.001107405703991137,0.008026442811466084,0.001264625741814457,0.00037898658031935094,0.0009905333557767419,0.0008860902876984452
0.2501578688327729,0.12070599821659217,0.005519026704473982,0.0011086304530723277,0.008030438438426366,0.001265423028017339,0.00037945166393769876,0.0009909984393950896,0.000886954014418234
0.2506157222794527,0.1208923456990591,0.005527133433748975,0.0011098519544578006,0.008034432743350936,0.0012662205214174114,0.00037991686842107436,0.0009914636438784652,0.0008878179656016458
0.2510741860592541,0.12107841077909959,0.005535113311159122,0.0011110701315985706,0.008038425687399438,0.00126701822206852,0.00038038219380088774,0.0009919289692582787,0.0008886821413070135
0.2515332679391342,0.12126418811294842,0.005542964393089898,0.0011122849070878888,0.008042417231318764,0.001267816130024525,0.0003808476401085573,0.0009923944155659481,0.0008895465415926856
0.25199297576658464,0.12144967230065498,0.005550684715942641,0.0011134962026532963,0.00804640733543933,0.0012686142453393005,0.00038131320737550965,0.0009928599828329006,0.0008904111665170256
0.2524487212697307,0.12163302626968359,0.005558206066192221,0.001114691720951756,0.008050356906917876,0.0012694046405834537,0.00038177427126793236,0.0009933210467253232,0.000891267428031525
0.25290390717973976,0.12181566097786617,0.00556561175012268,0.0011158797278530254,0.008054297733547556,0.0012701933339877482,0.00038223434242043756,0.0009937811178778284,0.0008921218458861775
0.2533639650609533,0.12199978967602376,0.005573017322612873,0.0011170735240555619,0.008058279265058987,0.001270989847059392,0.000382698975045563,0.000994245750502954,0.0008929847350471247
0.2538236862577385,0.12218333447455268,0.005580347808008411,0.0011182591836871507,0.008062257266851806,0.0012717851941550418,0.0003831629275180255,0.0009947097029754165,0.0008938463610674122
0.25428307810572115,0.12236629011510436,0.005587602009108205,0.0011194365789856458,0.008066231764836286,0.0012725793769815127,0.0003836262008334668,0.0009951729762908577,0.0008947067257960888
0.2547421653546488,0.12254866127671951,0.005594778853883229,0.001120605696915533,0.0080702029066672,0.0012733724290147166,0.0003840888145195025,0.0009956355899768934,0.0008955658654987266
0.2552010943294911,0.12273052287946182,0.00560187822795629,0.0011217673428289001,0.008074171691013148,0.001274164606484168,0.0003845509180433491,0.00099609769350074,0.0008964240577572989
0.2556601218477399,0.12291201013074873,0.005608900381705599,0.001122923032806078,0.008078139803386909,0.0012749563647316835,0.0003850127770210664,0.0009965595524784572,0.000897281795858774
0.2561195032870732,0.12309323696649893,0.005615842872163392,0.0011240740571839408,0.008082108472039646,0.0012757481374491525,0.00038547464443959003,0.000997021419896981,0.0008981395496360321
0.2565794636215435,0.12327428703100171,0.005622701310719062,0.001125221370612797,0.008086078427191383,0.0012765402907333105,0.00038593673385534897,0.00099748350931274,0.0008989977156938701
0.2570401069625666,0.12345519557693307,0.005629472962427556,0.0011263653610998805,0.008090049982315242,0.0012773329888926834,0.00038639914111498314,0.000997945916572374,0.0008998564720331906
0.2575102319718747,0.12363939966963525,0.005636282887732823,0.001127527641470236,0.008094098800708898,0.001278141344833099,0.0003868706820802255,0.0009984174575376164,0.0009007321909686408
0.25797659375641296,0.12382170510788315,0.005642938215213543,0.0011286753980572853,0.008098110762768949,0.0012789425776576018,0.0003873380678945189,0.0009988848433519098,0.0009016001931951856
0.25843948849976717,0.12400222885851062,0.005649443520802918,0.0011298093624337953,0.008102088425383323,0.0012797371981365917,0.000387801596507263,0.000999348371964654,0.0009024610320474245
0.25890309072866974,0.12418259419236413,0.00565585642153845,0.0011309396904604016,0.008106067606987002,0.0012805323651878331,0.00038826544395382037,0.0009998122194112113,0.0009033224630196027
0.25936740665481484,0.12436279678473797,0.005662175484535634,0.0011320663019194752,0.00811004828657583,0.0012813280791872802,0.00038872961045349796,0.0010002763859108888,0.0009041844865190039
0.259832429606954,0.12454282906325723,0.005668399139734453,0.0011331891684721125,0.008114030292414493,0.0012821243210700416,0.0003891940848851087,0.0010007408603424997,0.0009050470818919952
0.26029794846271354,0.1247226329346777,0.005674523859909476,0.001134309101111939,0.008118011070002595,0.0012829207648013985,0.0003896586770617337,0.0010012054525191246,0.0009059098959342987
0.2607635719861129,0.1249021060037444,0.0056805443749706,0.0011354276636800107,0.008121985955076188,0.0012837168142352912,0.0003901230392315044,0.0010016698146888953,0.0009067722828210158
0.2612291131860942,0.1250811966223532,0.005686457307231812,0.0011365456057874908,0.008125952641872266,0.0012845121803179746,0.00039058700277973637,0.0010021337782371272,0.0009076339294105894
0.26169457789858486,0.12525990086867586,0.005692261078703237,0.001137662896878862,0.0081299110600971,0.0012853068636360565,0.0003910505680486174,0.0010025973435060084,0.0009084948363385113
0.2621599720163495,0.12543821477841832,0.005697954095278655,0.0011387795060035628,0.00813386113871037,0.001286100864775641,0.00039151373538004176,0.0010030605108374327,0.000909355004239728
0.2626187740787897,0.12561364120864515,0.005703457257668147,0.001139879752683819,0.008137747570113197,0.0012868830600971134,0.00039197001598423407,0.001003516791441625,0.0009102023825046566
0.2630685920855556,0.1257852727881011,0.005708744263195331,0.0011409578769207497,0.008141550256874075,0.0012876493828843294,0.00039241703761010995,0.0010039638130675008,0.0009110325655241403
0.26353351270988307,0.12596227827737277,0.0057140919009066315,0.0011420715376861605,0.00814547237454173,0.0012884408345050454,0.00039287871772219444,0.0010044254931795853,0.0009118899714465829
0.26399838691698657,0.12613887740206445,0.005719322318836027,0.001143184389183543,0.00814938586638418,0.0012892316067214444,0.00039334000151509366,0.0010048867769724846,0.0009127466413476815
0.2644632416331902,0.1263150818579368,0.00572443703963386,0.0011442955395844804,0.008153291220017888,0.0012900217449293536,0.0003938009154697074,0.0010053476909270983,0.0009136026244062499
0.2649281590377644,0.12649094584685813,0.005729446186526366,0.0011454017812901408,0.008157190432541206,0.0012908114141310435,0.00039426155583735983,0.0010058083312947507,0.0009144580993747473
0.26539323487161715,0.12666653463532834,0.005734362214779423,0.00114649927223581,0.00816108590069053,0.0012916008094424475,0.0003947220364356788,0.0010062688118930698,0.0009153132776287682
0.2658585090941585,0.12684187132589891,0.005739189164417862,0.001147586422457784,0.008164978533615483,0.0012923900061042348,0.0003951824011550548,0.0010067291766124456,0.000916168240679038
0.2663239868274563,0.12701695242866798,0.0057439257324863905,0.0011486630709508117,0.008168868300563665,0.0012931790041663953,0.00039564265002464845,0.0010071894254820393,0.0009170229885797119
0.26678967324645847,0.12719177441701976,0.005748570602776386,0.001149729055040327,0.008172755170458115,0.0012939678036789064,0.0003961027830736133,0.0010076495585310042,0.0009178775213849324
