t,AGB+OB,AGB+OB_rate
5985137.580383624,0.07670147408321418,5.1455542192680776e-09
6011829.672236343,0.07683783450183405,5.07173555871445e-09
6038640.803586134,0.07697283809739679,4.998976773519245e-09
6065571.505316911,0.07710649839395686,4.927262646178252e-09
6092622.310680148,0.07723882878087238,4.856578177677616e-09
6119793.7553055165,0.07736984251414741,4.7869085843565744e-09
6157651.602274192,0.07754926810717427,4.692003049224966e-09
6200997.720155687,0.07775035818578181,4.5863401305405394e-09
6244648.968313598,0.07794830347856169,4.483058850390739e-09
6288607.494679252,0.07814315325956535,4.382105526725379e-09
6332875.462304141,0.0783349560314549,4.283427687485744e-09
6377455.049466312,0.07852375953758368,4.186974043331538e-09
6422348.449777561,0.078709610773888,4.092694460982416e-09
6467557.872291379,0.0788925560005925,4.0005399371604425e-09
6513085.541611657,0.07907264075373246,3.9104625731198505e-09
6558933.698002105,0.0792499098564953,3.8224155497510215e-09
6605104.597496565,0.079424407430385,3.73635310324537e-09
6651600.512009974,0.07959617690621126,3.652230501309001e-09
6698423.729450161,0.07976526103490685,3.570004019912379e-09
6745576.553830436,0.07993170189817542,3.4896309205640806e-09
6793061.305382973,0.08009554091897275,3.4110694280967852e-09
6840880.320672926,0.0802568188718236,3.3342787089540587e-09
6889035.952713487,0.08041557589297745,3.2592188499663556e-09
6937530.571081614,0.08057185149040484,3.185850837605612e-09
6986366.562034646,0.08072568455363734,3.114136537707338e-09
7035546.328627731,0.08087711336345345,3.044038675649776e-09
7085072.29083202,0.08102617560141268,2.9755208169799107e-09
7134946.885653835,0.0811729083592407,2.9085473484759808e-09
7185172.567254518,0.08131734814806718,2.843083459637031e-09
7235751.807071215,0.08145953090751913,2.779095124589598e-09
7286687.093938488,0.08159949201467187,2.7165490844022223e-09
7337980.934210787,0.08173726629285982,2.6554128297985997e-09
7389635.851885731,0.08187288802034923,2.5956545842604417e-09
7441654.388728391,0.0820063909388754,2.5372432875110232e-09
7494039.104396298,0.08213780826204595,2.480148579371215e-09
7546792.576565431,0.08226717268361261,2.424340783979246e-09
7599917.401056993,0.08239451638561338,2.3697908943662977e-09
7653416.191965231,0.08251987104638751,2.316470557379577e-09
7707291.58178601,0.0826432678484647,2.2643520589453935e-09
7761546.221546365,0.08276473748633074,2.2134083096643155e-09
7816182.780934942,0.08288431017407188,2.1636128307310417e-09
7871203.948433391,0.08300201565289916,2.1149397401716096e-09
7926612.431448583,0.08311788319855502,2.0673637393909e-09
7982410.956445938,0.08323194162860419,2.0208601000232086e-09
8038602.269083511,0.08334421930961004,1.9754046510793564e-09
8095189.134347122,0.08345474416419886,1.9309737663834225e-09
8152174.336686406,0.08356354367801334,1.887544352292675e-09
8209560.680151844,0.08367064490655736,1.8450938356942795e-09
8267350.988532676,0.0837760744819333,1.8036001522726207e-09
8325548.105495948,0.08387985861947435,1.7630417350409584e-09
8384154.894726376,0.08398202312427248,1.7233975031316989e-09
8443174.24006727,0.08408259339760453,1.684646850839276e-09
8502609.045662457,0.08418159444325753,1.6467696369100051e-09
8562462.236099122,0.08427905087375492,1.6097461740733943e-09
8622736.756551811,0.08437498691648564,1.5735572188093168e-09
8683435.572927287,0.08446942641973676,1.538183961345933e-09
8744561.672010493,0.08456239285863205,1.5036080158830142e-09
8806118.061611518,0.08465390934097738,1.4698114110356289e-09
8868107.770713624,0.08474399861301465,1.4367765804932333e-09
8930533.84962221,0.08483268306508555,1.4044863538893456e-09
8993399.37011503,0.08491998473720688,1.3729239478769203e-09
9056707.425593255,0.08500592532455828,1.3420729574049864e-09
9120461.13123375,0.08509052618288428,1.3119173471918409e-09
9195731.772874467,0.08518797777989767,1.277448038546467e-09
9281177.345808093,0.08529551927149788,1.2397447874353173e-09
9367416.868164586,0.08540085665627238,1.2031579999677914e-09
9454457.717221258,0.08550403542777778,1.1676546155713692e-09
9542307.338804156,0.08560510014355044,1.13320255265879e-09
9630973.247924944,0.08570409444439245,1.0997706796384974e-09
9720463.02942388,0.08580106107326073,1.067328786783451e-09
9810784.33861857,0.08589604189376694,1.0358475589330267e-09
9901944.901958862,0.0859890779082966,1.0052985490032263e-09
9993952.517687824,0.08608020927575512,9.756541522813022e-10
10086815.056508737,0.08616947532894831,9.468875814815992e-10
10180540.462258523,0.08625691459160525,9.189728425399741e-10
10275136.752587216,0.08634256479505045,8.918847111250475e-10
10370612.019643849,0.0864264628945328,8.655987098449745e-10
