time,H,He,C,N,O,Ne,Mg,Si,Fe
3175068.2190162786,0.02298610423568028,0.008356405643412858,0.0002794553446578696,3.3182225963505735e-05,0.00024721329449452976,5.472305970906984e-05,2.295841332341538e-05,2.7813497487610768e-05,4.448239391718866e-05
3180777.190998587,0.02297155905186434,0.008409412777590358,0.00029312104618830804,3.393648241392303e-05,0.0002518642583936243,5.586297965149118e-05,2.3022171288853433e-05,2.8225771594964457e-05,4.473948729408991e-05
3186496.4280709173,0.022956851371680517,0.008462480025029301,0.0003067906400614671,3.469142988815801e-05,0.0002565268639664131,5.7002904864328954e-05,2.3085606291875537e-05,2.8640983428661232e-05,4.499805890398006e-05
3192225.948690546,0.02294177071715997,0.008515537475151859,0.0003204628485703394,3.544684395323103e-05,0.0002611994380478032,5.8142441616252444e-05,2.314851286813865e-05,2.905895594879995e-05,4.525774927003923e-05
3197965.7713479307,0.022926563427981956,0.008568626274037042,0.00033412888501406734,3.620242801638861e-05,0.0002658806833770175,5.928117534167891e-05,2.321106795382233e-05,2.9479659074429547e-05,4.551881369147819e-05
3203723.4589606654,0.022911582306869505,0.008621643975981861,0.00034773832235911883,3.6955625224424724e-05,0.00027055535838949594,6.0415303561773087e-05,2.3273315052961918e-05,2.990181181839421e-05,4.578080249418354e-05
3209550.064401442,0.022896937616360653,0.008675171677253863,0.0003614196361079511,3.771375040840482e-05,0.0002752694758018514,6.155586998024926e-05,2.3336071790511884e-05,3.03296709929509e-05,4.604664807146298e-05
3215387.2666778686,0.02288275889470785,0.008728958473900462,0.00037510382882885326,3.847303312239647e-05,0.0002799998239599215,6.269719577698108e-05,2.3399070064834903e-05,3.0761176870865765e-05,4.631513279404411e-05
3221235.0850623953,0.02286888775114549,0.008782951348460653,0.00038878974903038357,3.9233296313268425e-05,0.00028474512491952463,6.383896809859643e-05,2.3462153378648273e-05,3.119620258411273e-05,4.658598917290655e-05
3227093.538862504,0.022855128124827477,0.008837084961946259,0.00040247611397939073,3.999432682898514e-05,0.00028950380872706013,6.49808121373824e-05,2.3525129463671367e-05,3.163458574057206e-05,4.685888350252196e-05
3232962.6474208096,0.02284142278344922,0.008891339276036416,0.0004161620829666256,4.075604264360951e-05,0.0002942753751277867,6.61225778021893e-05,2.3587937509175895e-05,3.207629565457999e-05,4.7133726430033366e-05
3238842.430115107,0.022827849474568118,0.008945738296318171,0.0004298472447112338,4.1518489206367186e-05,0.0002990603638559204,6.726433345915073e-05,2.3650644514634038e-05,3.252142970159044e-05,4.741066618348822e-05
3244732.9063584115,0.022814516520356553,0.009000315986282113,0.00044353127810517663,4.228174051508654e-05,0.00030385954910911524,6.840619634275952e-05,2.3713346366780538e-05,3.29701143972642e-05,4.768990485971221e-05
3250634.095599074,0.022801504057611686,0.009055097083368283,0.0004572137612361178,4.304584343768691e-05,0.00030867348618577315,6.954823710644824e-05,2.3776112164746425e-05,3.3422449724651616e-05,4.797159503004843e-05
